timestamp,open,high,low,close,volume
2021-09-27,442.8100,444.0500,441.9000,442.6400,61371100
2021-09-28,439.6900,440.0400,432.9400,433.7200,130436300
2021-09-29,435.1900,437.0400,433.8500,434.4500,82329200
2021-09-30,436.0200,436.7700,428.7800,429.1400,140506000
2021-10-01,430.9800,436.0300,427.2300,434.2400,129240100
2021-10-04,433.0000,433.9600,426.3600,428.6400,128570000
2021-10-05,430.2400,435.4900,429.3900,433.1000,90682500
2021-10-06,429.2700,435.1200,427.5400,434.9000,113032200
2021-10-07,438.3900,441.6800,438.2000,438.6600,72437500
2021-10-08,439.4800,439.8900,437.1900,437.8600,74557400
2021-10-11,437.1600,440.2600,434.6200,434.6900,65233300
2021-10-12,435.6700,436.1000,432.7800,433.6200,71181200
2021-10-13,434.7100,436.0500,431.5400,435.1800,72974000
2021-10-14,439.0800,442.6600,438.5800,442.5000,70236800
2021-10-15,444.7500,446.2600,444.0900,445.8700,66260200
2021-10-18,443.9700,447.5500,443.2700,447.1900,62213200
2021-10-19,448.9200,450.7100,448.2700,450.6400,46996800
2021-10-20,451.1300,452.7300,451.0100,452.4100,49571600
2021-10-21,451.7700,453.8300,451.3100,453.5900,41305400
2021-10-22,453.1300,454.6700,451.0500,453.1200,58845100
2021-10-25,454.2800,455.9000,452.3900,455.5500,45214500
2021-10-26,457.2000,458.4900,455.5600,455.9600,56075100
2021-10-27,456.4500,457.1600,453.8600,453.9400,72438000
2021-10-28,455.4600,458.4000,455.4500,458.3200,51437900
2021-10-29,455.8700,459.5600,455.5600,459.2500,70162400
2021-11-01,460.3000,460.7000,458.2000,460.0400,48433600
2021-11-02,460.2200,462.2300,460.0800,461.9000,48908400
2021-11-03,461.3000,465.1500,460.8300,464.7200,52509800
2021-11-04,465.3600,467.0000,464.9900,466.9100,52847100
2021-11-05,469.2800,470.6500,466.9200,468.5300,66390600
2021-11-08,469.7000,470.2300,468.2000,468.9300,50405200
2021-11-09,469.3200,469.5700,465.8800,467.3800,51149100
2021-11-10,465.5800,467.3800,462.0400,463.6200,69429700
2021-11-11,465.2100,465.2900,463.7500,463.7700,34848500
2021-11-12,465.1200,467.8600,464.1100,467.2700,53466700
2021-11-15,468.6400,468.8100,466.2300,467.4300,46980500
2021-11-16,467.1500,470.4900,467.0700,469.2800,48857500
2021-11-17,469.0000,469.1900,467.4800,468.1400,47858300
2021-11-18,469.2400,470.0100,466.3400,469.7300,50625600
2021-11-19,469.6100,470.9400,468.5000,468.8900,57315600
2021-11-22,470.8900,473.5400,467.3500,467.5700,72762000
2021-11-23,467.2200,469.1000,464.4500,468.1900,73206500
2021-11-24,466.0600,469.5700,465.1900,469.4400,61858800
2021-11-26,462.3400,463.9000,457.7700,458.9700,112669600
2021-11-29,464.0700,466.5600,461.7300,464.6000,86268800
2021-11-30,462.0000,464.0300,455.3000,455.5600,148559600
2021-12-01,461.6400,464.6700,450.2900,450.5000,131939200
2021-12-02,450.7300,459.0700,450.3100,457.4000,127637800
2021-12-03,459.1700,460.3000,448.9200,453.4200,137331600
2021-12-06,456.1300,460.7900,453.5600,458.7900,98977500
2021-12-07,464.4100,468.8800,458.6500,468.2800,95484700
2021-12-08,468.7000,470.0000,466.8300,469.5200,72238800
2021-12-09,468.1500,469.6300,466.1400,466.3500,61272600
2021-12-10,469.2300,470.9000,466.5100,470.7400,77159800
2021-12-13,470.1900,470.5600,466.2700,466.5700,87724700
2021-12-14,463.0900,465.7400,460.2500,463.3600,97264100
2021-12-15,463.4200,470.8600,460.7400,470.6000,116899300
2021-12-16,472.5700,472.8700,464.8000,466.4500,116568600
2021-12-17,461.5500,464.7400,458.0600,459.8700,135511600
2021-12-20,454.4800,455.4000,451.1400,454.9800,107134800
2021-12-21,458.6100,463.2100,456.3100,463.0600,69806300
2021-12-22,462.7900,467.8100,462.5800,467.6900,58890200
2021-12-23,468.7500,472.1900,468.6400,470.6000,56439700
2021-12-27,472.0600,477.3100,472.0100,477.2600,56808600
2021-12-28,477.7200,478.8100,476.0600,476.8700,47274600
2021-12-29,476.9800,478.5600,475.9200,477.4800,54503000
2021-12-30,477.9300,479.0000,475.6700,476.1600,55329000
2021-12-31,475.6400,476.8600,474.6700,474.9600,65237400
2022-01-03,476.3000,477.8500,473.8500,477.7100,72668200
2022-01-04,479.2200,479.9800,475.5800,477.5500,71178700
2022-01-05,477.1600,477.9800,468.2800,468.3800,104538900
2022-01-06,467.8900,470.8200,465.4300,467.9400,86858900
2022-01-07,467.9500,469.2000,464.6500,466.0900,85111600
2022-01-10,462.7000,465.7400,456.6000,465.5100,119362000
2022-01-11,465.2300,469.8500,462.0500,469.7500,74303100
2022-01-12,471.5900,473.2000,468.9400,471.0200,67605400
2022-01-13,472.1900,472.8800,463.4400,464.5300,91173100
2022-01-14,461.1900,465.0900,459.9000,464.7200,95890900
2022-01-18,459.7400,459.9600,455.3100,456.4900,109709100
2022-01-19,458.1300,459.6100,451.4600,451.7500,109357600
2022-01-20,453.7500,458.7400,444.5000,446.7500,122379700
2022-01-21,445.5600,448.0600,437.9500,437.9800,202271200
2022-01-24,432.0300,440.3800,420.7600,439.8400,251783900
2022-01-25,433.0600,439.7200,427.1500,434.4700,167997300
2022-01-26,440.7200,444.0400,428.8600,433.3800,186391100
2022-01-27,438.2600,441.5900,429.4500,431.2400,149878300
2022-01-28,432.6800,442.0000,427.8200,441.9500,164457400
2022-01-31,441.2400,450.2800,439.8100,449.9100,152251400
2022-02-01,450.6800,453.6300,446.9400,452.9500,123155400
2022-02-02,455.5000,458.1200,453.0500,457.3500,117361000
2022-02-03,450.9500,452.9700,445.7100,446.6000,118024400
2022-02-04,446.3500,452.7800,443.8300,448.7000,118454400
2022-02-07,449.5100,450.9900,445.8500,447.2600,84472900
2022-02-08,446.7300,451.9200,445.2200,450.9400,81012000
2022-02-09,455.2200,457.8800,455.0100,457.5400,92589900
2022-02-10,451.3400,457.7100,447.2000,449.3200,140103700
2022-02-11,449.4100,451.6100,438.9400,440.4600,153214600
2022-02-14,439.9200,441.6000,435.3400,439.0200,123006300
2022-02-15,443.7300,446.2800,443.1800,446.1000,88482700
2022-02-16,443.9300,448.0600,441.9400,446.6000,84863600
2022-02-17,443.2200,446.5700,436.4200,437.0600,102259100
2022-02-18,437.3300,438.6600,431.8200,434.2300,132642900
2022-02-22,431.8900,435.5000,425.8600,429.5700,124391800
2022-02-23,432.6600,433.2600,421.3500,421.9500,132578000
2022-02-24,411.0200,428.7600,410.6400,428.3000,213942900
2022-02-25,429.6100,437.8400,427.8600,437.7500,121804500
2022-02-28,432.0300,438.2000,430.7000,436.6300,145615000
2022-03-01,435.0400,437.1700,427.1100,429.9800,137785900
2022-03-02,432.3700,439.7200,431.5700,437.8900,117726500
2022-03-03,440.4700,441.1100,433.8000,435.7100,105501700
2022-03-04,431.7500,433.3700,427.8800,432.1700,113978200
2022-03-07,431.5500,432.3000,419.3600,419.4300,137896600
2022-03-08,419.6200,427.2100,415.1200,416.2500,164772700
2022-03-09,425.1400,429.5100,422.8200,427.4100,116990800
2022-03-10,422.5200,426.4300,420.4400,425.4800,93972700
2022-03-11,428.1200,428.7700,419.5300,420.0700,95636300
2022-03-14,420.8900,424.5500,415.7900,417.0000,95729200
2022-03-15,419.7700,426.8400,418.4200,426.1700,106219100
2022-03-16,429.8900,435.6800,424.8000,435.6200,144954800
2022-03-17,433.5900,441.0700,433.1900,441.0700,102676900
2022-03-18,438.0000,444.8600,437.2200,444.5200,106345500
2022-03-21,444.3400,446.4600,440.6800,444.3900,88349800
2022-03-22,445.8600,450.5800,445.8600,449.5900,74650400
2022-03-23,446.9100,448.4900,443.7100,443.8000,79426100
2022-03-24,445.9400,450.5000,444.7600,450.4900,64736900
